desconto_pct,mean_quantity,mean_revenue,mean_profit
0.0,325.2553030289283,4477.957198184533,2499.240047052615
0.001,320.17133889454124,4416.347695916372,2462.036549734907
0.002,318.9611729726196,4384.8788061289115,2441.5926195633674
0.003,323.99000396006545,4427.402761140543,2464.5393326314875
0.004,324.31944447956363,4431.840273314705,2465.10799974919
0.005,324.09211203428106,4424.63318445055,2458.9817091029704
0.006,312.99083740620307,4336.767935317316,2406.0628738779387
0.007,312.26041405060766,4318.891103619203,2394.7486398866017
0.008,321.99491209307644,4429.466169919067,2454.7710127539362
0.009000000000000001,303.3018688268315,4101.230303721092,2274.90770101957
0.01,293.92083861193987,3943.7088386304376,2187.1867943843695
0.011,294.7341486539608,3944.790572447692,2185.848183372572
0.012,295.81700806365285,3965.6947741182294,2194.417027432832
0.013000000000000001,295.9032058317466,3964.29263482868,2192.0899653481342
0.014,297.82122747355595,4003.539498795545,2210.7568787064683
0.015,386.97076092503653,5509.793554788752,3024.5149820556308
0.016,387.15361649619985,5503.958506926218,3018.9533267902284
0.017,402.7816590409033,5745.338063904763,3147.956824576563
0.018000000000000002,400.09637781746443,5679.468643625337,3110.1259012368632
0.019,400.4541497414799,5676.685423812253,3105.703492392527
0.02,354.43731583783506,4918.330176634118,2690.038946780305
0.021,352.98274948973824,4949.717764915282,2701.0269692087554
0.022,353.0190360392334,4945.963468786036,2696.5335999035656
0.023,349.05161815184186,4911.738899990024,2674.3564817146557
0.024,349.5306706894089,4915.9008762095045,2673.9118079243603
0.025,307.76075991539676,4357.339283040488,2368.512148428861
0.026000000000000002,307.576611217211,4347.585819080658,2361.6539440893275
0.027,307.5823870118964,4342.706319071636,2357.328964493966
0.028,305.83957868095956,4272.617909160342,2319.0046051456584
0.029,304.1689244224674,4225.271022999729,2293.2761193928163
0.03,303.973958522738,4217.4116168722885,2286.780336396095
0.031,305.0382765494325,4221.412190151821,2286.993801286957
0.032,304.9971324394144,4214.83030910372,2281.5522626202574
0.033,310.2316652100186,4321.860178589605,2337.2184108784554
0.034,310.7441885348141,4324.453858788337,2336.347723236578
0.035,283.2404580117954,3925.284882884196,2119.0592038202376
0.036000000000000004,385.9494584655818,5349.862553448107,2884.7539676608612
0.037,364.24574791947435,5108.087956347414,2751.7822277224577
0.038,273.70274739913606,4068.85261522369,2185.8458642944406
0.039,525.7907369165592,7578.820902187809,4066.7002542224313
0.04,525.9869694210565,7573.483946747427,4060.2590554692288
