model,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
GBR,2.1514695130705592e-05,1.061875256820873e-05,6.289758351055829e-06,1.9162572382060025e-06,0.7999999994307265,0.39999999971536326
RidgeCV,0.0059977077687299995,0.007374830796257098,0.004684160666344918,0.0056656637689250335,0.7998604210475851,0.39993030017686887
RF,0.037835519164655565,0.03718238446415964,0.005341365461847393,0.004797272387274242,0.7961468855766335,0.3981088914757793
DummyMean,0.8099985705517694,0.3997813749605731,0.23680071889337834,0.07214443962855997,-0.00689888481542531,0.004646291012423695
